,brewery_id,name,city,state,lat,lon,geometry
351,351,Westfield River Brewing Company,Westfield,MA,42.1250929,-72.749538,POINT (-72.749538 42.1250929)
352,352,Elevator Brewing Company,Columbus,OH,39.9611755,-82.9987942,POINT (-82.99879420000001 39.9611755)
353,353,Aslan Brewing Company,Bellingham,WA,48.7595529,-122.4882249,POINT (-122.4882249 48.7595529)
354,354,Kulshan Brewery,Bellingham,WA,48.7595529,-122.4882249,POINT (-122.4882249 48.7595529)
355,355,Pikes Peak Brewing Company,Monument,CO,39.0916586,-104.872758,POINT (-104.872758 39.0916586)
356,356,Manayunk Brewing Company,Philadelphia,PA,39.952335,-75.163789,POINT (-75.16378899999999 39.952335)
357,357,Buckeye Brewing,Cleveland,OH,41.4994954,-81.6954088,POINT (-81.6954088 41.4994954)
358,358,Daredevil Brewing Company,Shelbyville,IN,39.5214373,-85.7769238,POINT (-85.77692380000001 39.5214373)
359,359,NoDa Brewing Company,Charlotte,NC,35.2270869,-80.8431268,POINT (-80.84312679999999 35.2270869)
360,360,Aviator Brewing Company,Fuquay-Varina,NC,35.5843235,-78.8000128,POINT (-78.8000128 35.5843235)
361,361,Wild Onion Brewing Company,Lake Barrington,IL,42.2150637,-88.1468509,POINT (-88.1468509 42.2150637)
362,362,Hilliard's Beer,Seattle,WA,47.6062095,-122.3320708,POINT (-122.3320708 47.6062095)
363,363,Mikkeller,Pottstown,PA,40.2453741,-75.6496302,POINT (-75.6496302 40.2453741)
364,364,Bohemian Brewery,Midvale,UT,40.6110589,-111.8999353,POINT (-111.8999353 40.6110589)
365,365,Great River Brewery,Davenport,IA,41.5236437,-90.5776367,POINT (-90.5776367 41.5236437)
366,366,Mustang Brewing Company,Mustang,OK,35.384226,-97.7244868,POINT (-97.72448679999999 35.384226)
367,367,Airways Brewing Company,Kent,WA,47.3809335,-122.2348431,POINT (-122.2348431 47.3809335)
368,368,21st Amendment Brewery,San Francisco,CA,37.7749295,-122.4194155,POINT (-122.4194155 37.7749295)
369,369,Eddyline Brewery & Restaurant,Buena Vista,CO,38.8422178,-106.1311288,POINT (-106.1311288 38.8422178)
370,370,Pizza Port Brewing Company,Carlsbad,CA,33.02818612476269,-116.7702042500999,POINT (-116.7702042500999 33.02818612476269)
371,371,Sly Fox Brewing Company,Pottstown,PA,40.2453741,-75.6496302,POINT (-75.6496302 40.2453741)
372,372,Spring House Brewing Company,Conestoga,PA,39.9406555,-76.3463493,POINT (-76.3463493 39.9406555)
373,373,7venth Sun,Dunedin,FL,28.0199,-82.77323,POINT (-82.77323 28.0199)
374,374,Astoria Brewing Company,Astoria,OR,46.1878841,-123.8312534,POINT (-123.8312534 46.1878841)
375,375,Maui Brewing Company,Lahaina,HI,20.87429,-156.67663,POINT (-156.67663 20.87429)
376,376,RoughTail Brewing Company,Midwest City,OK,35.4495065,-97.3967019,POINT (-97.3967019 35.4495065)
377,377,Lucette Brewing Company,Menominee,WI,45.0043672,-88.7100057,POINT (-88.7100057 45.0043672)
378,378,Bold City Brewery,Jacksonville,FL,30.3321838,-81.655651,POINT (-81.65565100000001 30.3321838)
379,379,Grey Sail Brewing of Rhode Island,Westerly,RI,41.3775996,-71.8272911,POINT (-71.8272911 41.3775996)
380,380,Blue Blood Brewing Company,Lincoln,NE,40.8000011,-96.6669599,POINT (-96.66695989999999 40.8000011)
381,381,Swashbuckler Brewing Company,Manheim,PA,40.1634279,-76.3949615,POINT (-76.39496149999999 40.1634279)
382,382,Blue Mountain Brewery,Afton,VA,42.7092397,-110.9407492,POINT (-110.9407492 42.7092397)
383,383,Starr Hill Brewery,Crozet,VA,38.0695815,-78.700575,POINT (-78.700575 38.0695815)
384,384,Westbrook Brewing Company,Mt. Pleasant,SC,32.7940651,-79.8625851,POINT (-79.8625851 32.7940651)
385,385,Shipyard Brewing Company,Portland,ME,43.65737,-70.2589,POINT (-70.2589 43.65737)
386,386,Revolution Brewing,Paonia,CO,38.9569344,-107.3400522,POINT (-107.3400522 38.9569344)
387,387,Natian Brewery,Portland,OR,45.5234515,-122.6762071,POINT (-122.6762071 45.5234515)
388,388,Alltech's Lexington Brewing Company,Lexington,KY,37.9886892,-84.4777153,POINT (-84.4777153 37.9886892)
389,389,Oskar Blues Brewery (North Carol...,Brevard,NC,35.2021778086823,-82.79830007686662,POINT (-82.79830007686662 35.2021778086823)
390,390,Orlison Brewing Company,Airway Heights,WA,47.644611,-117.5932728,POINT (-117.5932728 47.644611)
391,391,Breckenridge Brewery,Denver,CO,39.7391536,-104.9847034,POINT (-104.9847034 39.7391536)
392,392,Santa Fe Brewing Company,Santa Fe,NM,35.6869752,-105.937799,POINT (-105.937799 35.6869752)
393,393,Miami Brewing Company,Miami,FL,25.7742658,-80.1936589,POINT (-80.1936589 25.7742658)
394,394,Schilling & Company,Seattle,WA,47.6062095,-122.3320708,POINT (-122.3320708 47.6062095)
395,395,Hops & Grain Brewery,Austin,TX,30.267153,-97.7430608,POINT (-97.74306079999999 30.267153)
396,396,White Flame Brewing Company,Hudsonville,MI,42.870859,-85.8650358,POINT (-85.8650358 42.870859)
